Rank,Team,2022,Last 3,Last 1,Home,Away,2021,More
168,Oregon,12.2,13.0,9.0,12.8,11.5,11.8,https://www.teamrankings.com/ncaa-basketball/team/oregon-ducks
169,Abl Christian,12.2,12.3,12.0,12.5,12.1,12.7,https://www.teamrankings.com/ncaa-basketball/team/abilene-christian-wildcats
170,Towson,12.2,13.7,14.0,11.8,12.5,11.9,https://www.teamrankings.com/ncaa-basketball/team/towson-tigers
170,UC Irvine,12.2,12.7,11.0,11.9,12.5,13.4,https://www.teamrankings.com/ncaa-basketball/team/uc-irvine-anteaters
170,Boston Col,12.2,9.3,13.0,11.8,12.6,11.9,https://www.teamrankings.com/ncaa-basketball/team/boston-college-eagles
173,Evansville,12.3,11.0,10.0,12.4,12.2,11.3,https://www.teamrankings.com/ncaa-basketball/team/evansville-purple-aces
173,Coastal Car,12.3,11.3,10.0,11.4,13.0,13.8,https://www.teamrankings.com/ncaa-basketball/team/coastal-carolina-chanticleers
173,Georgetown,12.3,9.3,7.0,11.3,13.3,13.4,https://www.teamrankings.com/ncaa-basketball/team/georgetown-hoyas
176,Texas A&M,12.3,11.7,10.0,12.8,11.8,13.1,https://www.teamrankings.com/ncaa-basketball/team/texas-am-aggies
177,UNLV,12.3,12.7,13.0,13.7,10.5,11.3,https://www.teamrankings.com/ncaa-basketball/team/unlv-rebels
177,Wm & Mary,12.3,10.3,9.0,12.3,12.2,16.3,https://www.teamrankings.com/ncaa-basketball/team/william--mary-tribe
179,LSU,12.3,8.7,8.0,12.1,12.5,14.7,https://www.teamrankings.com/ncaa-basketball/team/louisiana-state-tigers
180,NC-Wilmgton,12.3,13.7,17.0,12.6,12.1,9.9,https://www.teamrankings.com/ncaa-basketball/team/unc-wilmington-seahawks
181,Citadel,12.3,9.3,10.0,10.5,13.6,12.3,https://www.teamrankings.com/ncaa-basketball/team/the-citadel-bulldogs
182,UC Riverside,12.3,13.7,10.0,12.3,12.3,12.2,https://www.teamrankings.com/ncaa-basketball/team/uc-riverside-highlanders
183,NC A&T,12.3,12.7,13.0,11.9,12.5,12.4,https://www.teamrankings.com/ncaa-basketball/team/north-carolina-at-aggies
184,S Mississippi,12.3,17.7,24.0,10.3,13.7,13.4,https://www.teamrankings.com/ncaa-basketball/team/southern-miss-golden-eagles
184,Kansas,12.3,13.0,12.0,10.8,13.6,12.1,https://www.teamrankings.com/ncaa-basketball/team/kansas-jayhawks
186,TN Martin,12.3,10.0,9.0,12.0,12.6,13.6,https://www.teamrankings.com/ncaa-basketball/team/tenn-martin-skyhawks
187,St Peters,12.4,9.7,6.0,11.0,13.3,13.5,https://www.teamrankings.com/ncaa-basketball/team/saint-peters-peacocks
188,Xavier,12.4,10.0,12.0,12.7,12.2,11.7,https://www.teamrankings.com/ncaa-basketball/team/xavier-musketeers
189,USC,12.4,13.3,11.0,11.4,13.6,12.2,https://www.teamrankings.com/ncaa-basketball/team/southern-california-trojans
190,Tarleton St,12.4,13.3,15.0,11.6,12.9,11.8,https://www.teamrankings.com/ncaa-basketball/team/tarleton-state-texans
190,Queens,12.4,13.3,14.0,12.2,12.6,--,https://www.teamrankings.com/ncaa-basketball/team/queens-university-of-charlotte-royals
192,Bowling Grn,12.5,12.7,14.0,12.4,12.5,12.2,https://www.teamrankings.com/ncaa-basketball/team/bowling-green-falcons
193,Kennesaw St,12.5,11.0,11.0,12.7,12.4,11.9,https://www.teamrankings.com/ncaa-basketball/team/kennesaw-st-owls
193,Samford,12.5,11.0,8.0,11.9,12.9,13.5,https://www.teamrankings.com/ncaa-basketball/team/samford-bulldogs
